OBJECTID,area_ac,Shape__Area,Shape__Length
622,303.94,13238035.7011719,26264.7685324028
623,2.47,107630.274414063,1312.32988315631
624,14.83,645780.694335938,3936.98647964477
625,14.83,645762.610351563,3285.41239697912
626,2.47,107630.4296875,1312.33082008662
627,2.47,107626.26953125,1312.3067348986
628,2.47,107630.358398438,1312.33038184704
629,51.89,2260211.42089844,10489.438957968
630,74.13,3228866.95605469,11810.9015592238
631,2.47,107627.009765625,1312.31099448526
632,9.88,430508.157226563,3276.14212514903
633,1601.24,69741518.4785156,127945.069887305
634,4.94,10481.0322265625,657.62356527467
635,12.36,538153.4765625,3927.93634480615
636,2.47,107630.385742188,1312.3305367867
637,721.54,1518.1630859375,274.591543315154
638,51.89,2259201.9609375,8523.381613725
639,2.47,107630.4765625,1312.33107288487
640,7.41,322887.169921875,2624.64500976191
641,7.41,322899.3046875,2633.64355146543
642,4.94,215265.959960938,1964.04170003339
643,4.94,215263.452148438,1963.9979738496
644,2.47,107630.471679688,1312.33103035387
645,2.47,107626.418945313,1312.30761064952
646,9.88,430527.451171875,3276.34739185586
647,2.47,107630.625976563,1312.33195257131
648,2.47,107626.444335938,1312.3077588056
649,49.42,2152526.95214844,10517.0982794769
650,34.59,1506864.08496094,6561.73194977556
651,2.47,107630.595703125,1312.33174613267
652,2.47,107631.891601563,1312.33930378276
653,4.94,215261.630859375,1973.02908713342
654,12.36,538153.134765625,3276.29710276602
655,14.83,645798.608398438,4588.73699677796
656,2.47,107630.674804688,1312.33221043288
657,7.41,322879.768554688,2624.61702001601
658,4.94,215261.239257813,1973.03099700375
659,14.83,645781.79296875,3276.28119189498
660,32.12,1399145.37597656,6552.23722809705
661,2.47,107633.3203125,1312.34764612489
662,2.47,107632.934570313,1312.34533867409
663,175.44,7641702.08105469,19694.0157431951
664,34.59,1506782.21875,7213.09074827102
665,19.77,861046.092773438,5249.33009548937
666,4.94,215267.09375,1972.98996784914
667,2.47,107630.793945313,1312.33288984667
668,2.47,107630.020507813,1312.32839722613
669,2.47,107633.391601563,1312.34803347737
670,4.94,215266.638671875,1964.04942462554
671,2.47,107633.197265625,1312.34688531195
672,4.94,215266.375,1964.04473080461
673,2.47,107630.84375,1312.33315368998
674,9.88,430523.069335938,2624.66543899929
675,615.29,26799888.9082031,44637.3629053172
676,4.94,215266.603515625,1964.05049828689
677,7.41,322899.376953125,2615.74251579128
678,2.47,107631.998046875,1312.33988625557
679,14.83,645780.608398438,4597.70001335037
680,4.94,215267.452148438,1964.06401015932
681,2.47,107633.497070313,1312.3486093593
682,2.47,107632.032226563,1312.34006834601
683,2.47,107629.405273438,1312.32481259898
684,4.94,215254.936523438,1963.84542183154
685,46.95,2044920.76660156,10507.7576828788
686,2.47,107632.166992188,1312.34088031101
687,2.47,107629.341796875,1312.32440401187
688,14.83,645801.344726563,3276.4056333534
689,2.47,107632.044921875,1312.34013808626
690,2.47,107630.989257813,1312.33397626137
691,29.65,1291552.83300781,6570.76204249298
692,4.94,215255.150390625,1963.84836515481
693,2.47,107627.3828125,1312.31308165638
694,143.32,6242346.39355469,17060.0217310614
695,17.3,6253.55078125,431.171757305305
696,7.41,322890.0234375,2633.76337589135
697,4.94,215264.450195313,1973.01227330161
698,2.47,107631.06640625,1312.33442521314
699,4.94,215264.087890625,1973.01120921659
700,2.47,107631.73046875,1312.33828203663
701,2.47,107627.565429688,1312.31412992081
702,2.47,107634.044921875,1312.3518076078
703,4.94,215264.192382813,1973.01165475351
704,14.83,645792.366210938,3946.0266231455
705,4.94,215263.39453125,1973.01680818241
706,4.94,215262.329101563,1963.97821710872
707,2.47,107628.537109375,1312.31973171531
708,42.01,1829665.9453125,9846.98183251211
709,12.36,538134.391601563,3276.12741179774
710,143.32,6242351.17089844,26916.2954986104
711,4.94,215264.266601563,1973.011869537
712,2.47,107631.14453125,1312.33487224658
713,731.43,31858413.9404297,27549.7593069672
714,2.47,107628.702148438,1312.32072508264
715,9.88,430510.411132813,2624.62872343811
716,4.94,215253.826171875,1963.81976721327
717,2.47,107626.858398438,1312.3100724149
718,29.65,1291607.56445313,6570.67548202813
719,12.36,538168.500976563,3937.04943471456
720,2.47,107628.512695313,1312.31956316438
721,4.94,215267.9453125,1964.06702531392
722,7.41,322899.595703125,2624.69408076147
723,9.88,430530.227539063,3294.32881048581
724,2.47,107632.1796875,1312.34090766042
725,29.65,1291557.2890625,5900.91029382909
726,14.83,645761.4375,4588.43928757619
727,2.47,107632.208007813,1312.3410788708
728,2.47,107631.291992188,1312.33573003447
729,32.12,1399199.61328125,5910.03058020353
730,42.01,1829719.81835938,5900.95190889541
731,7.41,322882.834960938,2633.87349266148
732,2.47,107626.99609375,1312.31086962072
733,9.88,430507.166992188,3285.42401320252
734,7.41,322896.560546875,2633.68205292479
735,2.47,107632.255859375,1312.34137149159
736,2.47,107632.314453125,1312.34172328404
737,2.47,107632.186523438,1312.34096057694
738,9.88,430524.64453125,3276.31292422051
739,2.47,107626.905273438,1312.3103067497
740,51.89,2260163.63964844,9828.38180058978
741,17.3,753428.821289063,3946.01125972135
742,4.94,215262.579101563,1963.98300578737
743,2.47,107629.607421875,1312.32593529047
744,2.47,107627.756835938,1312.31524866258
745,2.47,107631.30859375,1312.33579345714
746,4.94,215255.49609375,1973.09308223312
747,7.41,322883.421875,2624.63170662847
